Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-31,1,50.00,11500.00,230.00,230.00,230.00
2010-06-03,1,100.00,23400.00,234.00,234.00,234.00
2010-07-25,3,302.00,70668.00,234.00,234.00,234.00
2010-07-26,6,807.00,183594.00,230.00,226.00,230.00
2010-07-27,1,180.00,40680.00,226.00,226.00,226.00
2010-08-04,3,1939.00,436454.00,226.00,225.00,226.00
2010-08-08,1,71.00,15762.00,222.00,222.00,222.00
2010-08-30,3,235.00,51129.00,218.00,217.00,217.00
2010-08-31,1,67.00,14338.00,214.00,214.00,214.00
2010-09-21,1,101.00,21210.00,210.00,210.00,210.00
2010-09-26,1,42.00,8820.00,210.00,210.00,210.00
2010-10-06,1,101.00,20806.00,206.00,206.00,206.00
2011-01-20,2,110.00,22220.00,202.00,202.00,202.00
2011-02-07,1,34.00,6732.00,198.00,198.00,198.00
2011-03-21,1,100.00,19800.00,198.00,198.00,198.00
2011-03-27,4,3868.00,773600.00,200.00,200.00,200.00
2012-02-13,1,110.00,21560.00,196.00,196.00,196.00
2012-05-22,2,63.00,12573.00,201.00,198.00,201.00
2012-06-25,1,30.00,5910.00,197.00,197.00,197.00
2012-07-24,6,879.00,177960.00,204.00,200.00,200.00
2012-07-25,1,10.00,2040.00,204.00,204.00,204.00
2012-08-30,2,136.00,27200.00,200.00,200.00,200.00
2012-09-06,2,78.00,15186.00,196.00,193.00,193.00
2012-09-09,3,247.00,46120.00,190.00,184.00,184.00
2012-09-10,1,100.00,18100.00,181.00,181.00,181.00
2012-09-11,3,341.00,59555.00,178.00,172.00,172.00
2012-09-12,1,134.00,22646.00,169.00,169.00,169.00
2012-09-13,13,2168.00,348825.00,166.00,153.00,153.00
2012-09-16,12,24867.00,3435646.00,150.00,138.00,138.00
2012-09-19,2,2500.00,330000.00,132.00,132.00,132.00
2012-09-20,1,30.00,4020.00,134.00,134.00,134.00
2012-09-23,4,224.00,31020.00,142.00,136.00,142.00
2012-10-09,1,134.00,19296.00,144.00,144.00,144.00
2012-10-10,7,442.00,66508.00,158.00,146.00,158.00
2012-10-14,5,274.00,45647.00,173.00,161.00,173.00
2012-10-18,1,50.00,8800.00,176.00,176.00,176.00
2012-10-31,6,200.00,36950.00,193.00,179.00,193.00
2012-11-01,6,420.00,84910.00,212.00,196.00,212.00
2012-11-04,9,1282.00,291468.00,232.00,216.00,230.00
2012-11-05,3,218.00,50002.00,233.00,229.00,229.00
2012-11-20,2,390.00,89700.00,230.00,230.00,230.00
2012-11-28,1,38.00,8588.00,226.00,226.00,226.00
2012-12-13,1,20.00,4600.00,230.00,230.00,230.00
2012-12-26,3,70.00,15500.00,226.00,218.00,218.00
2012-12-27,2,188.00,40232.00,214.00,214.00,214.00
2013-01-02,7,606.00,121220.00,210.00,195.00,195.00
2013-01-03,7,390.00,74160.00,192.00,188.00,192.00
2013-01-09,3,352.00,66730.00,190.00,189.00,190.00
