Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2011-03-16,5,90.00,30720.00,348.00,336.00,336.00
2011-03-20,7,120.00,38760.00,330.00,318.00,318.00
2011-04-19,7,200.00,59300.00,312.00,287.00,287.00
2011-05-24,12,1150.00,324300.00,282.00,282.00,282.00
2011-06-15,1,50.00,14100.00,282.00,282.00,282.00
2011-07-03,3,60.00,15780.00,268.00,258.00,258.00
2011-07-04,1,20.00,5060.00,253.00,253.00,253.00
2011-07-11,7,140.00,32580.00,241.00,228.00,228.00
2011-07-12,2,40.00,8880.00,224.00,220.00,220.00
2011-07-13,3,60.00,12360.00,210.00,202.00,202.00
2011-08-01,6,110.00,21480.00,198.00,195.00,195.00
2011-08-03,5,290.00,53580.00,192.00,180.00,180.00
2011-08-18,5,90.00,15690.00,177.00,174.00,174.00
2011-09-12,10,260.00,43770.00,171.00,168.00,168.00
2011-09-13,1,10.00,1600.00,160.00,160.00,160.00
2011-09-14,4,50.00,7380.00,152.00,145.00,145.00
2011-09-19,7,250.00,33300.00,138.00,132.00,132.00
2011-09-20,2,30.00,3740.00,126.00,124.00,124.00
2011-09-21,4,70.00,8380.00,122.00,118.00,118.00
2011-09-22,28,680.00,73830.00,116.00,107.00,107.00
2011-10-10,7,260.00,25500.00,102.00,97.00,97.00
2011-10-12,1,20.00,1920.00,96.00,96.00,96.00
2011-10-13,74,1610.00,142090.00,94.00,87.00,87.00
2011-10-16,262,7060.00,568020.00,86.00,79.00,81.00
2011-10-17,284,8240.00,653310.00,82.00,75.00,80.00
2011-10-18,295,8210.00,654190.00,84.00,78.00,83.00
2011-10-19,288,7360.00,595410.00,83.00,79.00,81.00
2011-10-20,364,8760.00,710620.00,83.00,80.00,81.00
2011-10-23,122,2620.00,224780.00,89.00,81.00,89.00
2011-10-24,191,9610.00,918880.00,97.00,90.00,96.00
2011-10-25,122,3520.00,328640.00,95.00,92.00,95.00
2011-10-30,176,6650.00,607040.00,96.00,88.00,91.00
2011-10-31,297,6600.00,604590.00,93.00,90.00,92.00
2011-11-02,4,80.00,7540.00,96.00,93.00,96.00
2011-11-03,85,3690.00,351110.00,98.00,88.00,94.00
2011-11-06,212,5330.00,502450.00,95.00,93.00,94.00
2011-11-08,282,6120.00,568790.00,95.00,91.00,93.00
2011-11-09,124,7000.00,641770.00,94.00,91.00,91.00
2011-11-10,170,4810.00,436950.00,91.00,89.00,91.00
2011-11-13,209,7170.00,655210.00,94.00,89.00,92.00
2011-11-14,107,3040.00,278100.00,93.00,90.00,91.00
2011-11-15,169,4750.00,429420.00,92.00,88.00,90.00
2011-11-16,119,3820.00,345790.00,92.00,89.00,92.00
2011-11-17,96,2670.00,245590.00,93.00,91.00,92.00
2011-11-20,128,4180.00,376820.00,92.00,89.00,90.00
2011-11-21,75,2300.00,207560.00,91.00,89.00,90.00
2011-11-22,139,6520.00,574780.00,89.00,88.00,88.00
2011-11-23,92,3270.00,289050.00,89.00,87.00,89.00
2011-11-24,176,5150.00,450750.00,89.00,87.00,88.00
2011-11-27,129,3540.00,313200.00,89.00,88.00,88.00
2011-11-28,74,3140.00,278520.00,90.00,88.00,88.00
2011-11-29,30,920.00,80760.00,89.00,87.00,88.00
2011-11-30,75,2380.00,206640.00,88.00,86.00,86.00
2011-12-01,26,800.00,68410.00,86.00,85.00,85.00
2011-12-04,89,2730.00,236810.00,88.00,85.00,85.00
2011-12-05,46,1970.00,169070.00,87.00,85.00,86.00
2011-12-06,38,1390.00,113890.00,86.00,81.00,81.00
2011-12-07,31,740.00,60610.00,85.00,81.00,85.00
2011-12-08,9,330.00,28200.00,86.00,85.00,86.00
2011-12-11,13,730.00,62310.00,87.00,85.00,85.00
2011-12-12,58,1710.00,145550.00,86.00,84.00,86.00
2011-12-13,3,60.00,5160.00,86.00,86.00,86.00
2011-12-14,128,3580.00,295020.00,85.00,80.00,81.00
2011-12-15,93,2200.00,176780.00,82.00,79.00,81.00
2011-12-18,88,3520.00,285050.00,82.00,80.00,81.00
2011-12-19,61,3410.00,275910.00,82.00,80.00,81.00
2011-12-20,63,2010.00,168020.00,84.00,82.00,84.00
2011-12-21,42,1460.00,121820.00,85.00,82.00,84.00
2011-12-22,75,2580.00,224000.00,90.00,84.00,86.00
2011-12-26,110,3920.00,348500.00,91.00,87.00,88.00
2011-12-27,361,12890.00,1168200.00,94.00,88.00,94.00
2011-12-28,239,7690.00,689970.00,94.00,88.00,89.00
2011-12-29,368,12560.00,1131150.00,92.00,88.00,91.00
2012-01-03,1,20.00,1800.00,90.00,90.00,90.00
2012-01-09,9,240.00,20990.00,89.00,87.00,87.00
2012-01-10,12,400.00,32650.00,86.00,79.00,79.00
2012-01-11,109,4200.00,313820.00,78.00,72.00,72.00
2012-01-12,60,2150.00,155380.00,73.00,72.00,73.00
2012-01-16,18,630.00,45900.00,74.00,72.00,72.00
2012-01-17,21,640.00,45630.00,73.00,70.00,71.00
2012-01-18,20,420.00,29790.00,72.00,70.00,70.00
2012-01-19,15,370.00,26400.00,72.00,70.00,72.00
2012-01-22,27,910.00,64950.00,73.00,71.00,71.00
2012-01-23,43,1020.00,72150.00,73.00,70.00,70.00
2012-01-25,7,310.00,21700.00,70.00,70.00,70.00
2012-01-26,43,1270.00,90760.00,73.00,70.00,73.00
2012-01-29,22,430.00,31620.00,74.00,72.00,72.00
2012-01-31,31,900.00,64740.00,74.00,71.00,74.00
2012-02-01,44,1270.00,93710.00,75.00,73.00,75.00
2012-02-02,43,1190.00,88700.00,76.00,74.00,76.00
2012-02-05,3,90.00,6880.00,77.00,76.00,76.00
2012-02-06,15,480.00,35450.00,75.00,72.00,72.00
2012-02-07,142,3030.00,216600.00,73.00,70.00,73.00
2012-02-08,33,1030.00,73970.00,74.00,71.00,74.00
2012-02-09,34,1140.00,83290.00,74.00,73.00,73.00
2012-02-12,20,430.00,30140.00,72.00,69.00,69.00
2012-02-13,39,1140.00,81010.00,72.00,70.00,72.00
2012-02-14,7,240.00,17340.00,76.00,71.00,76.00
2012-02-15,17,440.00,32980.00,77.00,72.00,72.00
2012-02-16,14,270.00,19100.00,71.00,70.00,71.00
2012-02-21,23,730.00,52180.00,72.00,70.00,71.00
2012-02-23,56,1310.00,92620.00,71.00,70.00,71.00
2012-02-26,42,1830.00,129980.00,72.00,70.00,72.00
2012-02-27,61,2010.00,142880.00,72.00,70.00,71.00
2012-02-28,23,1540.00,109840.00,72.00,71.00,71.00
2012-02-29,11,360.00,25940.00,73.00,72.00,73.00
2012-03-01,16,1730.00,125440.00,74.00,72.00,72.00
2012-03-04,2,40.00,2860.00,72.00,71.00,72.00
2012-03-05,17,420.00,30190.00,73.00,71.00,71.00
2012-03-06,12,530.00,36940.00,70.00,69.00,70.00
2012-03-11,39,1110.00,77740.00,71.00,70.00,71.00
2012-03-12,14,520.00,37440.00,72.00,72.00,72.00
2012-03-13,16,840.00,59270.00,71.00,70.00,71.00
2012-03-14,3,140.00,10060.00,72.00,71.00,72.00
2012-03-15,14,280.00,19820.00,72.00,70.00,71.00
2012-03-19,48,2330.00,167660.00,73.00,71.00,71.00
2012-03-20,13,750.00,53020.00,71.00,70.00,70.00
2012-03-21,10,410.00,28780.00,71.00,70.00,71.00
2012-03-25,5,220.00,15800.00,72.00,71.00,71.00
2012-03-26,17,1190.00,82160.00,70.00,68.00,68.00
2012-03-27,4,220.00,14860.00,68.00,67.00,68.00
2012-03-28,75,1560.00,107640.00,69.00,69.00,69.00
2012-03-29,19,610.00,42180.00,70.00,69.00,69.00
2012-04-01,9,710.00,49520.00,70.00,69.00,69.00
2012-04-02,38,830.00,58700.00,72.00,69.00,72.00
2012-04-03,13,720.00,51140.00,72.00,71.00,71.00
2012-04-04,2,100.00,7050.00,71.00,70.00,71.00
2012-04-05,5,180.00,12780.00,71.00,71.00,71.00
2012-04-08,23,470.00,33200.00,71.00,69.00,71.00
2012-04-09,3,150.00,10680.00,72.00,71.00,71.00
2012-04-10,6,900.00,63020.00,71.00,70.00,70.00
2012-04-11,6,500.00,35580.00,72.00,71.00,71.00
