Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2011-02-13,10,400.00,132400.00,331.00,331.00,331.00
2011-03-15,4,40.00,12640.00,325.00,307.00,307.00
2011-03-16,7,70.00,20050.00,301.00,277.00,277.00
2011-03-17,4,50.00,13250.00,272.00,257.00,257.00
2011-03-20,4,40.00,9810.00,252.00,239.00,239.00
2011-03-21,6,60.00,13510.00,235.00,216.00,216.00
2011-03-22,11,110.00,22150.00,212.00,195.00,195.00
2011-03-23,8,80.00,14590.00,192.00,176.00,176.00
2011-03-24,5,50.00,8220.00,168.00,159.00,159.00
2011-03-27,6,60.00,8950.00,156.00,144.00,144.00
2011-03-28,5,50.00,6660.00,137.00,130.00,130.00
2011-03-30,6,60.00,7380.00,128.00,118.00,118.00
2011-03-31,11,110.00,12120.00,116.00,107.00,109.00
2011-04-04,113,1630.00,172940.00,109.00,104.00,104.00
2011-04-05,163,2280.00,232820.00,104.00,100.00,102.00
2011-04-06,127,1420.00,141120.00,101.00,98.00,100.00
2011-04-07,83,1670.00,168870.00,102.00,99.00,102.00
2011-04-10,49,1020.00,102080.00,102.00,100.00,100.00
2011-04-11,27,370.00,36600.00,100.00,98.00,98.00
2011-04-13,2,80.00,7920.00,99.00,99.00,99.00
2011-04-17,7,120.00,11970.00,101.00,99.00,99.00
2011-04-18,34,490.00,48080.00,99.00,98.00,98.00
2011-04-19,308,3740.00,363070.00,99.00,96.00,96.00
2011-04-20,65,1310.00,123390.00,95.00,93.00,93.00
2011-04-21,71,850.00,78090.00,93.00,91.00,91.00
2011-04-25,66,880.00,83860.00,100.00,91.00,95.00
2011-04-27,96,1030.00,101510.00,104.00,93.00,104.00
2011-04-28,85,1810.00,183330.00,105.00,94.00,94.00
2011-05-02,46,830.00,76410.00,93.00,90.00,90.00
2011-05-03,75,940.00,85120.00,91.00,89.00,91.00
2011-05-04,3,110.00,10020.00,92.00,91.00,92.00
2011-05-05,51,510.00,45890.00,92.00,89.00,92.00
2011-05-08,41,710.00,65320.00,92.00,92.00,92.00
2011-05-09,26,470.00,43240.00,92.00,92.00,92.00
2011-05-10,25,310.00,27910.00,91.00,90.00,90.00
2011-05-11,70,820.00,76010.00,96.00,91.00,95.00
2011-05-12,86,1340.00,132980.00,104.00,97.00,100.00
2011-05-15,94,1940.00,186230.00,105.00,91.00,92.00
2011-05-16,162,1690.00,161230.00,101.00,91.00,95.00
2011-05-18,85,850.00,83190.00,99.00,97.00,97.00
2011-05-19,40,430.00,42660.00,100.00,97.00,97.00
2011-05-22,92,1040.00,102390.00,100.00,97.00,97.00
2011-05-23,9,90.00,8730.00,97.00,97.00,97.00
2011-05-24,53,670.00,63680.00,96.00,93.00,95.00
2011-05-25,73,900.00,85490.00,95.00,94.00,95.00
2011-05-26,51,750.00,72230.00,97.00,96.00,97.00
2011-05-30,109,1300.00,126900.00,99.00,96.00,99.00
2011-05-31,52,520.00,52120.00,101.00,100.00,100.00
2011-06-01,39,410.00,41880.00,104.00,100.00,100.00
2011-06-02,28,280.00,27590.00,99.00,95.00,96.00
2011-06-05,153,1530.00,147430.00,98.00,96.00,96.00
2011-06-06,71,910.00,86470.00,96.00,91.00,93.00
2011-06-07,54,540.00,50650.00,95.00,93.00,93.00
2011-06-08,21,210.00,19520.00,93.00,92.00,93.00
2011-06-15,10,300.00,27900.00,93.00,93.00,93.00
2011-06-16,19,190.00,16910.00,89.00,89.00,89.00
2011-06-19,7,70.00,6230.00,89.00,89.00,89.00
2011-06-23,74,1310.00,118330.00,92.00,90.00,92.00
2011-06-26,1,40.00,3640.00,91.00,91.00,91.00
2011-06-27,46,910.00,87170.00,98.00,95.00,95.00
2011-06-29,17,570.00,54790.00,97.00,96.00,97.00
2011-06-30,90,1460.00,142800.00,98.00,96.00,97.00
2011-07-03,57,580.00,55420.00,96.00,93.00,93.00
2011-07-04,9,130.00,12080.00,93.00,92.00,92.00
2011-07-05,5,250.00,23010.00,93.00,92.00,92.00
2011-07-06,20,200.00,18600.00,93.00,93.00,93.00
2011-07-07,29,350.00,32350.00,93.00,91.00,91.00
2011-07-10,45,1100.00,99940.00,92.00,90.00,92.00
2011-07-11,44,440.00,40450.00,92.00,91.00,92.00
2011-07-12,40,400.00,37200.00,93.00,93.00,93.00
2011-07-13,34,370.00,34520.00,96.00,92.00,92.00
2011-07-14,20,200.00,19000.00,95.00,95.00,95.00
2011-07-18,47,470.00,46050.00,99.00,96.00,96.00
2011-07-20,4,40.00,3800.00,95.00,95.00,95.00
2011-07-24,1,70.00,6720.00,96.00,96.00,96.00
2011-07-26,8,480.00,46560.00,97.00,97.00,97.00
2011-07-27,4,100.00,9800.00,98.00,98.00,98.00
2011-07-31,4,130.00,12570.00,97.00,96.00,96.00
2011-08-01,5,50.00,4800.00,96.00,96.00,96.00
2011-08-02,1,50.00,4750.00,95.00,95.00,95.00
2011-08-03,12,190.00,17810.00,95.00,92.00,92.00
2011-08-04,17,460.00,41240.00,92.00,86.00,86.00
2011-08-07,6,330.00,28780.00,88.00,87.00,87.00
2011-08-08,32,730.00,62810.00,88.00,85.00,86.00
2011-08-09,21,210.00,18280.00,88.00,87.00,88.00
2011-08-10,54,840.00,72620.00,87.00,86.00,86.00
2011-08-11,12,330.00,28400.00,87.00,86.00,86.00
2011-08-16,6,70.00,6000.00,86.00,85.00,85.00
2011-08-17,16,230.00,19550.00,85.00,85.00,85.00
2011-08-18,6,290.00,24110.00,84.00,83.00,83.00
2011-08-22,8,320.00,26880.00,84.00,84.00,84.00
2011-08-23,3,90.00,7650.00,85.00,85.00,85.00
