Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2014-11-10,1,10.00,3000.00,300.00,300.00,300.00
2014-11-11,11,268.00,86988.00,330.00,306.00,330.00
2014-11-12,8,134.00,48092.00,363.00,340.00,363.00
2014-11-13,10,100.00,39150.00,399.00,370.00,399.00
2014-11-16,25,339.00,137988.00,411.00,406.00,407.00
2014-11-17,25,456.00,179878.00,408.00,386.00,386.00
2014-11-18,11,110.00,41710.00,380.00,379.00,380.00
2014-11-19,6,101.00,40090.00,406.00,387.00,400.00
2014-11-20,11,164.00,68946.00,440.00,400.00,440.00
2014-11-23,12,802.00,349014.00,452.00,427.00,430.00
2014-11-24,23,396.00,168709.00,435.00,420.00,426.00
2014-11-25,14,140.00,58420.00,428.00,412.00,428.00
2014-11-30,18,234.00,103836.00,466.00,425.00,457.00
2014-12-01,20,216.00,96712.00,466.00,440.00,456.00
2014-12-02,12,237.00,105632.00,465.00,429.00,437.00
2014-12-03,25,1358.00,578470.00,452.00,422.00,452.00
2014-12-04,2,210.00,94320.00,452.00,449.00,449.00
2014-12-08,4,40.00,17230.00,442.00,419.00,419.00
2014-12-09,31,473.00,194094.00,415.00,407.00,415.00
2014-12-10,9,111.00,47180.00,427.00,420.00,427.00
2014-12-11,12,1180.00,512900.00,435.00,427.00,427.00
2014-12-14,7,243.00,105305.00,435.00,427.00,427.00
2014-12-16,9,90.00,37710.00,419.00,419.00,419.00
2014-12-17,14,143.00,58498.00,414.00,406.00,407.00
2014-12-18,4,184.00,74648.00,407.00,405.00,405.00
2014-12-21,1,10.00,3970.00,397.00,397.00,397.00
2014-12-22,7,86.00,34442.00,402.00,395.00,402.00
2014-12-23,3,30.00,12040.00,402.00,400.00,402.00
2014-12-24,1,10.00,4100.00,410.00,410.00,410.00
2014-12-28,2,20.00,8200.00,410.00,410.00,410.00
2014-12-31,2,20.00,8200.00,410.00,410.00,410.00
2015-01-01,8,366.00,164164.00,451.00,418.00,451.00
2015-01-04,42,480.00,235425.00,496.00,460.00,496.00
2015-01-05,29,462.00,233190.00,506.00,496.00,505.00
2015-01-06,25,397.00,194580.00,495.00,485.00,485.00
2015-01-07,14,485.00,241453.00,520.00,485.00,520.00
2015-01-08,3,173.00,88980.00,515.00,510.00,515.00
2015-01-11,15,260.00,132480.00,520.00,500.00,520.00
2015-01-12,16,322.00,165012.00,525.00,510.00,525.00
2015-01-13,28,280.00,144170.00,520.00,511.00,520.00
2015-01-14,31,1645.00,934504.00,572.00,530.00,572.00
2015-01-18,24,1982.00,1237320.00,629.00,583.00,629.00
2015-01-19,10,454.00,307712.00,691.00,641.00,691.00
2015-01-20,29,3407.00,2452137.00,760.00,678.00,711.00
2015-01-22,17,1650.00,1216188.00,753.00,711.00,725.00
2015-01-25,12,818.00,616925.00,770.00,739.00,770.00
2015-01-26,6,183.00,141325.00,790.00,770.00,790.00
2015-01-27,2,20.00,15500.00,775.00,775.00,775.00
2015-01-28,24,402.00,298702.00,760.00,720.00,759.00
2015-01-29,8,109.00,79044.00,744.00,716.00,730.00
2015-02-01,26,623.00,464006.00,780.00,716.00,780.00
2015-02-02,8,83.00,62915.00,770.00,741.00,770.00
2015-02-03,12,2489.00,1850220.00,785.00,740.00,766.00
2015-02-04,24,1436.00,1150134.00,833.00,746.00,833.00
2015-02-05,12,556.00,476601.00,878.00,833.00,878.00
2015-02-08,15,858.00,809776.00,965.00,895.00,965.00
2015-02-09,10,204.00,201368.00,1022.00,963.00,963.00
2015-02-10,17,746.00,720892.00,998.00,944.00,998.00
2015-02-11,35,1814.00,1847256.00,1049.00,980.00,1049.00
2015-02-12,14,342.00,359470.00,1069.00,1048.00,1060.00
2015-02-15,23,1385.00,1476284.00,1090.00,1060.00,1090.00
2015-02-16,20,288.00,334723.00,1199.00,1111.00,1199.00
2015-02-18,31,587.00,736530.00,1271.00,1222.00,1256.00
2015-02-22,4,114.00,136082.00,1231.00,1183.00,1185.00
2015-02-23,3,36.00,42048.00,1168.00,1168.00,1168.00
2015-02-24,8,216.00,239772.00,1150.00,1083.00,1083.00
2015-02-25,30,567.00,588770.00,1080.00,1000.00,1058.00
2015-02-26,7,156.00,163430.00,1060.00,1040.00,1046.00
