Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2012-12-17,3,30.00,11620.00,395.00,380.00,395.00
2012-12-18,1,10.00,4140.00,414.00,414.00,414.00
2012-12-19,4,40.00,17600.00,450.00,434.00,450.00
2012-12-20,3,31.00,14911.00,490.00,472.00,490.00
2012-12-23,3,40.00,20960.00,534.00,514.00,534.00
2012-12-24,7,1292.00,771064.00,609.00,544.00,609.00
2012-12-26,6,91.00,57505.00,645.00,598.00,645.00
2012-12-27,4,1260.00,869590.00,709.00,677.00,709.00
2012-12-31,14,6361.00,4806717.00,779.00,744.00,779.00
2013-01-01,4,40.00,33550.00,856.00,817.00,856.00
2013-01-02,11,26591.00,12660384.00,941.00,260.00,941.00
2013-01-03,15,1573.00,1598092.00,1035.00,959.00,1035.00
2013-01-07,98,11538.00,14413998.00,1251.00,1194.00,1251.00
2013-01-08,104,8462.00,10966741.00,1321.00,1251.00,1295.00
2013-01-09,95,5575.00,6740564.00,1270.00,1166.00,1166.00
2013-01-10,49,2609.00,2742956.00,1143.00,1050.00,1050.00
2013-01-13,52,8816.00,8818154.00,1029.00,990.00,1000.00
2013-01-15,65,4209.00,4021313.00,999.00,948.00,950.00
2013-01-16,27,1956.00,1816815.00,940.00,919.00,931.00
2013-01-17,38,3713.00,3421899.00,932.00,915.00,926.00
2013-01-20,21,1931.00,1750567.00,935.00,884.00,903.00
2013-01-21,14,1308.00,1185236.00,935.00,895.00,917.00
2013-01-22,14,607.00,562899.00,969.00,904.00,950.00
2013-01-23,24,1882.00,1803209.00,975.00,935.00,970.00
2013-01-24,27,1717.00,1617282.00,989.00,925.00,950.00
2013-01-27,21,1613.00,1506340.00,965.00,920.00,930.00
2013-01-28,19,2067.00,1902573.00,932.00,915.00,924.00
2013-01-30,13,855.00,791581.00,936.00,921.00,930.00
2013-01-31,14,1442.00,1337814.00,940.00,925.00,930.00
2013-02-03,30,2609.00,2425144.00,940.00,919.00,919.00
2013-02-04,13,1557.00,1424722.00,930.00,902.00,920.00
2013-02-05,20,1868.00,1712030.00,930.00,910.00,921.00
2013-02-06,14,1037.00,945712.00,917.00,905.00,907.00
2013-02-07,10,1392.00,1245854.00,920.00,892.00,920.00
2013-02-10,11,618.00,557517.00,905.00,900.00,900.00
2013-02-12,39,4393.00,3917397.00,912.00,880.00,880.00
2013-02-13,26,21258.00,17900617.00,905.00,840.00,897.00
2013-02-14,64,13260.00,10933606.00,880.00,808.00,808.00
2013-02-19,30,3313.00,2661936.00,825.00,797.00,800.00
2013-02-20,25,3091.00,2467603.00,816.00,784.00,791.00
2013-02-21,30,2252.00,1773607.00,805.00,780.00,780.00
2013-02-24,38,3195.00,2405082.00,779.00,736.00,762.00
2013-02-25,19,2420.00,1772580.00,770.00,717.00,725.00
2013-02-26,23,1765.00,1241681.00,714.00,695.00,700.00
2013-02-27,20,1607.00,1107145.00,700.00,685.00,687.00
2013-02-28,11,1121.00,771191.00,702.00,685.00,686.00
2013-03-03,13,1388.00,958194.00,714.00,680.00,680.00
2013-03-04,12,1069.00,725390.00,683.00,667.00,683.00
2013-03-05,23,1618.00,1102216.00,696.00,670.00,670.00
2013-03-07,26,4218.00,2718300.00,673.00,632.00,632.00
2013-03-11,22,3483.00,2221335.00,652.00,630.00,645.00
2013-03-13,5,523.00,342680.00,660.00,650.00,660.00
2013-03-14,20,2852.00,1892020.00,680.00,653.00,680.00
2013-03-17,11,1952.00,1318324.00,688.00,673.00,680.00
2013-03-18,7,819.00,553820.00,680.00,670.00,680.00
2013-03-19,8,474.00,327514.00,694.00,680.00,686.00
2013-03-21,11,924.00,623453.00,693.00,666.00,666.00
2013-03-24,11,1488.00,970676.00,670.00,640.00,652.00
2013-03-25,9,520.00,342016.00,665.00,647.00,665.00
2013-03-27,12,596.00,396052.00,675.00,656.00,665.00
2013-03-28,10,1635.00,1073622.00,675.00,652.00,652.00
2013-04-01,11,2200.00,1406900.00,645.00,637.00,640.00
2013-04-03,20,2128.00,1361638.00,652.00,636.00,640.00
2013-04-04,8,926.00,589698.00,641.00,631.00,638.00
2013-04-07,16,1254.00,801483.00,645.00,636.00,639.00
2013-04-08,9,963.00,618997.00,650.00,638.00,641.00
2013-04-11,39,6685.00,4769314.00,744.00,685.00,727.00
2013-04-15,36,3605.00,2669178.00,760.00,720.00,758.00
2013-04-16,22,2554.00,1899130.00,753.00,739.00,753.00
2013-04-17,8,738.00,546777.00,751.00,738.00,738.00
2013-04-18,12,1677.00,1197464.00,733.00,701.00,710.00
2013-04-21,6,741.00,519105.00,710.00,697.00,705.00
2013-04-22,8,560.00,388989.00,703.00,689.00,702.00
2013-04-23,55,7895.00,5529636.00,715.00,686.00,700.00
2013-04-25,17,2462.00,1707725.00,706.00,686.00,705.00
2013-04-28,16,1420.00,993580.00,719.00,695.00,699.00
2013-04-29,32,2872.00,1983200.00,708.00,678.00,695.00
2013-04-30,144,13940.00,8876861.00,695.00,626.00,626.00
2013-05-02,133,8316.00,4721985.00,615.00,564.00,564.00
2013-05-05,151,11463.00,5856619.00,555.00,508.00,508.00
2013-05-06,120,293777.00,143006152.00,521.00,458.00,521.00
2013-05-07,244,29919.00,15680317.00,558.00,496.00,530.00
2013-05-08,560,140540.00,71008218.00,543.00,490.00,532.00
2013-05-09,2,135.00,19485.00,145.00,143.00,145.00
2013-05-22,4,40.00,6240.00,159.00,152.00,159.00
2013-05-23,5,60.00,10080.00,174.00,162.00,174.00
2013-05-26,6,120.00,21950.00,191.00,177.00,191.00
2013-05-27,22,3065.00,587055.00,204.00,185.00,185.00
2013-05-28,9,3812.00,667621.00,182.00,170.00,170.00
2013-05-30,9,1153.00,199463.00,177.00,170.00,177.00
2013-06-02,6,1170.00,203954.00,176.00,173.00,176.00
2013-06-03,12,2302.00,398225.00,174.00,172.00,173.00
2013-06-04,1,20.00,3400.00,170.00,170.00,170.00
2013-06-05,6,937.00,159551.00,173.00,168.00,168.00
2013-06-06,7,1250.00,208250.00,168.00,165.00,166.00
2013-06-09,4,425.00,70300.00,166.00,164.00,164.00
2013-06-10,11,3093.00,510434.00,168.00,163.00,168.00
2013-06-11,2,240.00,39600.00,165.00,165.00,165.00
2013-06-12,10,3937.00,640718.00,165.00,161.00,162.00
2013-06-13,3,602.00,97524.00,162.00,162.00,162.00
2013-06-16,6,252.00,40543.00,162.00,159.00,162.00
2013-06-18,5,696.00,113002.00,163.00,161.00,163.00
2013-06-19,3,271.00,44055.00,165.00,162.00,162.00
2013-06-20,2,200.00,32100.00,162.00,159.00,162.00
2013-06-23,2,200.00,31500.00,159.00,156.00,156.00
2013-06-24,6,1088.00,164050.00,155.00,150.00,150.00
2013-06-25,19,4291.00,633686.00,152.00,146.00,149.00
2013-06-26,8,2618.00,394148.00,156.00,150.00,153.00
2013-06-27,8,1660.00,258320.00,160.00,153.00,157.00
2013-06-30,9,1507.00,238936.00,161.00,157.00,161.00
2013-07-01,8,3204.00,508846.00,160.00,158.00,158.00
2013-07-02,11,2012.00,311222.00,158.00,152.00,155.00
2013-07-03,4,1080.00,169147.00,159.00,156.00,159.00
2013-07-04,6,641.00,102415.00,162.00,158.00,159.00
2013-07-07,1,15.00,2355.00,157.00,157.00,157.00
2013-07-08,4,425.00,64751.00,155.00,151.00,154.00
2013-07-09,4,940.00,147880.00,159.00,157.00,157.00
2013-07-10,6,1169.00,187040.00,160.00,160.00,160.00
2013-07-11,7,741.00,119837.00,163.00,160.00,160.00
2013-07-14,9,239.00,39300.00,172.00,159.00,172.00
2013-07-15,2,110.00,18610.00,171.00,169.00,171.00
2013-07-18,2,95.00,15798.00,168.00,165.00,165.00
2013-07-21,5,1141.00,178419.00,162.00,155.00,155.00
2013-07-22,6,2360.00,357144.00,153.00,150.00,150.00
2013-07-23,6,1246.00,188060.00,154.00,147.00,154.00
